P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
AL20259335,Mendoza,Mejía,José Luis,jose.mendoza@universidad.edu.mx,jose_mendoza@gmail.com,5638394179,07/03/2025,Licenciatura en Psicología,LPS-05,1,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,No,NA,NA,Trabajo propio,No,NA,1087,No,Sí a ambos,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20246540,Navarro,Mejía,Ana,ana.navarro@universidad.edu.mx,ananavarro@hotmail.com,5513819022,24/06/2025,Licenciatura en Enfermería,LEN-10,4,Sí,1,No,NA,Beca de colegiatura,7.0,NA,Con padres o tutores,3,"$10,001-$15,000",Madre,Sí,22,No,Apoyo familiar,No,NA,433,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20233392,Pacheco,Espinoza,Diego Armando,diego.pacheco@universidad.edu.mx,diego.pacheco876@gmail.com,5530287503,01/01/2025,Licenciatura en Administración de Empresas,LAE-02,6,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo familiar,No,NA,1348,No,Sí a ambos,Licenciatura,Primaria,No,Sí,Sí,Sí,No
AL20255341,Salazar,Trejo,Juan Carlos,al20255341@universidad.edu.mx,juan153@yahoo.com,4478076214,28/05/2025,Licenciatura en Enfermería,LEN-10,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",El propio estudiante,Sí,29,No,"Apoyo familiar, Ahorro",No,NA,46,Sí,Sí a ambos,Preparatoria,Preparatoria,No,Sí,Sí,Sí,Sí
AL20253158,Medina,Coronado,Beatriz,beatriz.medina@universidad.edu.mx,beatrizmedina@gmail.com,5648105971,12/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,2,No,NA,Beca de colegiatura,9.1,NA,Con padres o tutores,6,"$5,001-$10,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,205,No,Sí a ambos,Secundaria,Sin estudios,Sí,No,Sí,Sí,No
AL20221874,Carmona,Acosta,María José,al20221874@universidad.edu.mx,maria532@hotmail.com,5527426871,30/05/2025,Licenciatura en Psicología,LPS-05,9,Sí,1,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,Sí,8,No,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de gobierno estatal, $2,000",0,Sí,Sí a ambos,Primaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20226800,Vargas,Cisneros,Omar,al20226800@universidad.edu.mx,omar.vargas843@gmail.com,4442028730,22/02/2025,Licenciatura en Derecho,LDE-04,7,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,48,Sí,"Apoyo familiar, Trabajo propio",Sí,"Beca estatal DIF, $1,200",1143,Sí,Solo internet,Primaria,Primaria,Sí,Sí,Sí,Sí,No
AL20251832,Téllez,Pérez,Santiago,santiago.tellez@universidad.edu.mx,santiago.tellez@hotmail.com,3352125680,27/05/2025,Licenciatura en Administración de Empresas,LAE-02,2,No,NA,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$5,001-$10,000",Padre,Sí,16,No,Trabajo propio,No,NA,1504,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20235729,Núñez,Navarro,Camila,camila.nunez@universidad.edu.mx,nunez.ca@outlook.com,5689397764,01/01/2025,Licenciatura en Derecho,LDE-04,4,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con pareja,6,"$5,001-$10,000",El propio estudiante,Sí,31,No,Trabajo propio,No,NA,709,Sí,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20231651,Villarreal,Pérez,Patricia,patricia.villarreal@universidad.edu.mx,patricia.villarreal@hotmail.com,5678849264,12/05/2025,Licenciatura en Administración de Empresas,LAE-02,6,No,NA,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con pareja,3,"$5,001-$10,000",El propio estudiante,Sí,37,No,"Apoyo familiar, Trabajo propio",Sí,"Apoyo de fundación privada, $2,000",853,No,Sí a ambos,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20252622,Zavala,Palacios,Gabriela,al20252622@universidad.edu.mx,gabriela.zavala@hotmail.com,5531638614,03/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,5,"$15,001-$25,000",Tutor,Sí,8,No,Apoyo familiar,No,NA,234,No,Sí a ambos,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20250137,Campos,León,Patricia,al20250137@universidad.edu.mx,patricia_campos@gmail.com,5516305140,21/01/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,5,"$10,001-$15,000",Tutor,Sí,22,No,Apoyo familiar,Sí,"Apoyo de gobierno estatal, $2,000",772,No,Solo computadora,Primaria,Primaria,No,No,Sí,Sí,No
AL20246745,Vázquez,Gutiérrez,Jesús,al20246745@universidad.edu.mx,jesus_vazquez@yahoo.com,8160087801,27/05/2025,Licenciatura en Contaduría Pública,LCP-03,4,Sí,1,Sí,Económica,Beca de colegiatura,9.5,NA,Con otros familiares,8+,"$5,001-$10,000",El propio estudiante,Sí,33,No,"Apoyo familiar, Trabajo propio",No,NA,8,No,Solo internet,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
