SID,CORREO,TIPO_CORREO,FECHA_ACT
1,saul.trejo@universidad-sysac.edu.mx,Institucional,2024-04-05
1,saul_trejo90@icloud.com,Personal,2024-01-22
2,montserratsoto@universidad-sysac.edu.mx,Institucional,2024-05-23
2,montserrat_soto83@live.com.mx,Personal,2024-05-21
3,emilio_mejia@universidad-sysac.edu.mx,Institucional,2024-09-02
3,emiliomejia92@yahoo.com.mx,Personal,2024-06-30
4,pablo_rosales@universidad-sysac.edu.mx,Institucional,2024-02-11
4,pablorosales@icloud.com,Personal,2025-01-06
5,oscarortiz@universidad-sysac.edu.mx,Institucional,2024-07-22
5,oscar_ortiz90@outlook.com,Personal,2024-07-12
6,leonardo.castillo@universidad-sysac.edu.mx,Institucional,2024-04-19
6,leonardocastillo99@icloud.com,Personal,2024-12-29
7,javier.orozco@universidad-sysac.edu.mx,Institucional,2024-06-07
7,javier_orozco82@outlook.com,Personal,2024-09-29
8,eduardo.sanchez@universidad-sysac.edu.mx,Institucional,2024-11-28
8,eduardo.sanchez329@icloud.com,Personal,2024-09-06
9,jessica_bautista@universidad-sysac.edu.mx,Institucional,2024-07-31
9,jessicabautista137@hotmail.com,Personal,2025-01-11
10,leonardo.estrada@universidad-sysac.edu.mx,Institucional,2024-05-01
10,leonardo.estrada@outlook.com,PERSONAL,2024-04-20
11,montserratmartinez@universidad-sysac.edu.mx,Institucional,2024-12-26
12,salvador_carmona@universidad-sysac.edu.mx,Institucional,2024-08-30
13,cristian.cortes@universidad-sysac.edu.mx,Institucional,2024-07-30
14,francisco_gutierrez@universidad-sysac.edu.mx,Institucional,2024-04-28
15,ricardo.moreno@universidad-sysac.edu.mx,Institucional,2024-09-30
15,ricardo_moreno@live.com.mx,Personal,2024-03-16
16,martin_romero@universidad-sysac.edu.mx,Institucional,2024-06-12
16,martin_romero92@gmail.com,Personal,2024-08-09
17,uriel.leon@universidad-sysac.edu.mx,Institucional,2024-09-15
17,uriel_leon91@outlook.com,Personal,2024-10-27
18,monica_fuentes@universidad-sysac.edu.mx,Institucional,2024-12-02
18,monica_fuentes84@yahoo.com.mx,Personal,2024-05-18
19,teresa.morales@universidad-sysac.edu.mx,Institucional,2025-01-10
19,teresa_morales56@yahoo.com,Personal,2024-08-23
20,diego_cervantes@universidad-sysac.edu.mx,Institucional,2024-02-20
21,gabrielvazquez@universidad-sysac.edu.mx,Institucional,2024-05-03
22,martha.rios@universidad-sysac.edu.mx,Institucional,2025-01-30
23,gerardo.bautista@universidad-sysac.edu.mx,Institucional,2024-08-15
23,gerardobautista94@yahoo.com,Personal,2024-11-18
24,yolanda.zavala@universidad-sysac.edu.mx,Institucional,2024-03-12
24,yolandazavala655@outlook.com,Personal,2024-10-18
25,marianaleon@universidad-sysac.edu.mx,Institucional,2024-05-07
26,teresa.mejia@universidad-sysac.edu.mx,Institucional,2024-09-09
26,teresamejia90@outlook.com,Personal,2024-03-20
27,hector.suarez@universidad-sysac.edu.mx,Institucional,2024-03-22
27,hector.suarez@live.com.mx,Personal,2025-01-15
28,gabriela.vargas@universidad-sysac.edu.mx,Institucional,2024-09-11
28,gabriela_vargas91@protonmail.com,Personal,2024-07-09
29,cristian_bautista@universidad-sysac.edu.mx,Institucional,2024-10-10
29,cristianbautista90@yahoo.com,Personal,2024-10-12
30,saulestrada@universidad-sysac.edu.mx,Institucional,2024-08-04
30,saulestrada465@icloud.com,Personal,2024-04-07
31,elena.ramos@universidad-sysac.edu.mx,Institucional,2024-10-01
31,elena_ramos97@live.com.mx,Personal,2024-09-23
32,enriquecontreras@universidad-sysac.edu.mx,Institucional,2024-10-26
33,david_campos@universidad-sysac.edu.mx,Institucional,2024-10-31
33,david_campos84@hotmail.com,Personal,2024-01-09
34,karla.ortiz@universidad-sysac.edu.mx,Institucional,2024-04-05
34,karlaortiz899@yahoo.com.mx,Personal,2024-10-23
35,hectorvalencia@universidad-sysac.edu.mx,Institucional,2024-10-22
36,maria_castillo@universidad-sysac.edu.mx,Institucional,2024-10-25
