SID,CALLE,COLONIA,MUNICIPIO,ENTIDAD,CP,FECHA_ACT
1,Eje 6 Sur 649,Escandón,Coyoacán,Ciudad de México,03100,2025-01-01
2,Calle República de Cuba 819 Int. 15,Obrera,Cuajimalpa,Ciudad de México,06300,2025-01-10
3,Calle Uruguay 571,Florida,La Paz,Estado de México,50140,2025-01-04
4,Eje 4 Sur 985,Azcapotzalco,Cuajimalpa,Ciudad de México,15040,2024-08-10
5,Calz. de la Viga 950 Int. 20,Xochimilco,Cuajimalpa,Ciudad de México,08400,2024-08-14
6,Calz. Ermita Iztapalapa 364,Xochimilco,Iztacalco,Ciudad de México,16050,2024-09-08
7,Eje 6 Sur 679,San Ángel,Iztacalco,Ciudad de México,15530,2024-06-12
8,Calle Pino Suárez 384,General Anaya,Iztacalco,Ciudad de México,09820,2024-06-15
9,Eje 3 Norte 513,Anzures,Azcapotzalco,Ciudad de México,15890,2024-10-30
10,Calle Pitágoras 894, Industrial Vallejo,Texcoco,Estado de México,55449,2024-08-12
11,Calle Pitágoras 527 Int. 8,Constitución de 1917,Xochimilco,Ciudad de México,16050,2024-10-11
12,Periférico Sur 320,Santa Catarina,Iztapalapa,Ciudad de México,09240,2025-01-18
13,Calle Isabel la Católica 356 Int. 12,culhuacán,Atizapán de Zaragoza,Estado de México,56158,2024-09-26
14,Calz. Ignacio Zaragoza 559,San Lorenzo Tezonco,Benito Juárez ,Ciudad de México,06600,2024-09-06
15,Av. Revolución 23,Guerrero,Miguel Hidalgo,Ciudad de México,06600,2024-09-04
16,Eje Central 360 Int. 13,Tlalpan,Gustavo A. Madero,Ciudad de México,06350,2024-09-09
17,Calle Isabel la Católica 45 Int. 13,Buenos Aires,Miguel Hidalgo,Ciudad de México,06250,2025-01-15
18,Periférico Norte 802 Int. 6,Santa Catarina,Cuajimalpa,Ciudad de México,15870,2024-09-30
19,Eje 7 Sur 665,Balbuena,Tlalnepantla,Estado de México,55019,2024-07-06
20,Eje Central 534,Iztapalapa,Tlalpan,Ciudad de México,14100,2025-02-08
21,Eje 5 Sur 529 Int. 17,Industrial Vallejo,Tultitlán,Estado de México,54244,2024-12-07
22,Eje 8 Sur 656 Int. 7,Morelos,Cuauhtémoc,Ciudad de México,14100,2024-07-17
23,Viaducto Miguel Alemán 227 Int. 11,General Anaya,Huixquilucan,Estado de México,55430,2025-02-24
24,Av. Tláhuac 549,Lomas de Chapultepec,Venustiano Carranza,Ciudad de México,03500,2024-09-14
25,Calle 5 de Mayo 419,San Jerónimo,Venustiano Carranza,Ciudad de México,14630,2024-06-23
26,Eje 5 Sur 79 Int. 14,Irrigación,Tlalpan,Ciudad de México,11570,2024-10-10
27,Calle Bolívar 833,Agrícola Oriental,Chalco,Estado de México,56258,2024-08-11
28,Av. Tlalpan 48,Condesa,Toluca,Estado de México,52000,2024-08-28
29,Eje 2 Poniente 943,Industrial Vallejo,Coyoacán,Ciudad de México,01040,2024-06-12
30,Eje 7 Sur 655,Peralvillo,Coyoacán,Ciudad de México,15840,2024-07-01
31,Calle República de Cuba 665,Industrial Vallejo,Tláhuac,Ciudad de México,13200,2024-06-07
32,Av. Juárez 636 Int. 20,Roma Sur,Xochimilco,Ciudad de México,05100,2025-02-12
33,Av. Tlalpan 404,Moctezuma,Álvaro Obregón,Ciudad de México,14430,2024-08-04
34,Av. Chapultepec 55 Int. 11,Agrícola Oriental,Álvaro Obregón,Ciudad de México,1210,2024-12-27
35,Calle 16 de Septiembre 810,Del Valle,Gustavo A. Madero,Ciudad de México,13010,2024-12-02
36,Av. Insurgentes 450,Magdalena Contreras,Xochimilco,Ciudad de México,08000,2024-12-27
37,Calle Tacuba 466 Int. 4,Hipódromo,Tlalpan,Ciudad de México,15530,2024-09-30
38,Av. Universidad 483 Int. 6,Irrigación,Ecatepec,Estado de México,50220,2025-03-01
39,Av. Insurgentes 296,Azcapotzalco,Centro,Chihuahua,51082,2024-07-26
40,Calle Leibniz 422,Industrial Vallejo,Naucalpan,Estado de México,55336,2024-07-15
41,Av. Juárez 237 Int. 3,Coyoacán,Iztacalco,Ciudad de México,15510,2024-10-24
42,Calle Pino Suárez 4,Roma Norte,La Paz,Estado de México,54050,2024-07-02
43,Calle Euler 759 Int. 10,Tlalpan,Texcoco,Estado de México,54300,2024-11-26
44,Eje 7 Sur 245,Santa María la Ribera,Miguel Hidalgo,Ciudad de México,13020,2025-02-27
45,Eje Central 481,Tabacalera,Benito Juárez,Ciudad de México,04010,2024-06-25
46,Calz. de la Viga 974,San Ángel,Gustavo A. Madero,Ciudad de México,14640,2024-10-05
47,Calz. Ignacio Zaragoza 455 Int. 16,Magdalena Contreras,Coyoacán,Ciudad de México,13070,2024-07-08
48,Eje 2 Poniente 458 Int. 11,Coapa,Xochimilco,Ciudad de México,11810,2024-07-25
49,Eje 1 Poniente 625,San Lorenzo Tezonco,Milpa Alta,Ciudad de México,09600,2024-09-02
50,Av. Universidad 890 Int. 13,Santa Catarina,Cuautitlán Izcalli,Estado de México,54320,2024-06-12
51,Eje 8 Sur 781,Ajusco,Milpa Alta,Ciudad de México,06050,2024-11-23
52,Viaducto Miguel Alemán 256,Tlalpan,Azcapotzalco,Ciudad de México,15530,2025-02-23
53,Calle Madero 188,Florida,Cuautitlán Izcalli,Estado de México,56247,2024-07-03
54,Calz. de Tlalpan 710 Int. 14,Cuauhtémoc,Chalco,Estado de México,54290,2024-07-11
55,Calle Pitágoras 381 Int. 9,Pedregal,Iztacalco,Ciudad de México,16020,2024-10-23
56,Av. Cuauhtémoc 163 Int. 5,Santa María la Ribera,Cuautitlán Izcalli,Estado de México,56176,2024-09-25
57,Calle Moneda 965,Lomas de Chapultepec,Metepec,Estado de México,55249,2024-11-26
58,Av. Revolución 849 Int. 16,Lindavista,Magdalena Contreras,Ciudad de México,14700,2024-06-24
59,Circuito Interior 348,Granada,Tlalpan,Ciudad de México,06060,2024-11-01
60,Viaducto Miguel Alemán 688 Int. 12, Santa Catarina,Álvaro Obregón,Ciudad de México,15530,2024-11-14
61,Av. Chapultepec 617,Roma Sur,Centro,Guerrero,45626,2024-12-30
62,Av. Taxqueña 685,Buenos Aires,Coacalco,Estado de México,54170,2024-08-03
63,Eje 3 Sur 832 Int. 1,San Ángel,Centro,Puebla,23841,2024-11-29
64,Eje 2 Norte 729,Tepito,Magdalena Contreras,Ciudad de México,14380,2024-09-02
65,Calz. de la Viga 758 Int. 10,Aragón,Tultitlán,Estado de México,50170,2025-02-03
66,Circuito Interior 140,Juárez,Texcoco,Estado de México,55387,2024-07-05
67,Periférico Sur 614 Int. 19,Lindavista,Naucalpan,Estado de México,56350,2024-07-26
68,Calle Bolívar 501,Del Valle,Gustavo A. Madero,Ciudad de México,03500,2025-01-25
69,Av. Cuauhtémoc 967 Int. 3,San Ángel,Benito Juárez,Ciudad de México,11550,2024-06-13
70,Eje 3 Norte 801,Juárez,Cuauhtémoc,Ciudad de México,08200,2024-07-08
71,Av. Tlalpan 783,Iztapalapa,Gustavo A. Madero,Ciudad de México,14418,2024-09-15
72,Calle Pitágoras 689 Int. 3,Ajusco,Azcapotzalco,Ciudad de México,13000,2024-12-03
73,Calle Leibniz 315,Obrera,Chalco,Estado de México,52270,2024-09-15
74,Av. División del Norte 714,Guerrero,Huixquilucan,Estado de México,55360,2025-02-13
75,Eje 1 Poniente 682,Country Club,Tlalpan,Ciudad de México,02000,2024-09-29
76,Calz. Ignacio Zaragoza 187,Pantitlán,Naucalpan,Estado de México,52282,2024-08-23
77,Av. Chapultepec 25 Int. 18,Milpa Alta,Coyoacán,Ciudad de México,15540,2024-06-02
78,Eje 8 Sur 530 Int. 4,Clavería,Centro,Coahuila,75469,2024-08-12
79,Calle Leibniz 396,Pantitlán,Milpa Alta,Ciudad de México,0971,2024-09-01
80,Calle República de Cuba 166 Int. 20,Tlacopac,Iztacalco,Ciudad de México,07100,2024-07-23
81,Periférico Norte 730 Int. 1,Azcapotzalco ,Coacalco,Estado de México,55350,2025-01-05
