SID,NOMBRE,FECHA_NAC,GENERO,CURP,FECHA_ACT
1,Saúl Trejo García,1993-08-02,M,TEGS930802HDFRRL61,2024-11-24
2,Montserrat Soto Martínez,1990-06-18,F,SOMM900618MDFTRN51,2025-02-10
3,Emilio Mejía Fuentes,1999-09-09,M,MEFE990909HMCJNM35,2025-01-29
4,Pablo Rosales Ortiz,1998-03-19,M,ROOP980319HDFSRB65,2024-12-06
5,Oscar Iván Ortiz Zavala,1987-02-14,M,OIZO870214HDFRVS35,2024-12-13
6,Leonardo Castillo Palacios,1999-12-31,M,CAPL991231HDFSLN58,2024-12-13
7,Javier Orozco Fuentes,1992/06/04,M,OOFJ920604HDFRNV24,2024-12-28
8,Eduardo Armando Sánchez García,2006-05-20,M,SEGE060520HDFNRD49,2025-01-08
9,Jessica Bautista Ríos,2005-03-27,F,BARJ050327MDFTSS08,2024-11-01
10,Leonardo Estrada Figueroa,1987-03-31,M,EAFL870331HMCSGN85,2024-11-29
11,Montserrat Martínez Reyes,1990-10-12,F,MARM901012MDFRYN95,2024-12-10
12,Salvador Carmona Domínguez,1988-06-08,,CADS880608HDFRML77,2024-12-17
13,Cristian Cortés Ortiz,1994-05-25,M,,2024-09-01
14,Francisco Gutiérrez López,2002-11-03,M,GULF021103HDFTPR02,2024-12-24
15,Ricardo Moreno Bautista,1989-07-30,M,MOBR890730HDFRTC67,2024-09-28
16,Martín Romero Rosales,1988-12-18,M,RORM881218HDFMSR54,2025-02-21
17,URIEL LEÓN CRUZ,1987-09-06,M,LECU870906HDFNRR90,2024-09-25
18,Mónica María Fuentes Soto,1998-05-30,F,FUSM980530MDFNTN85,2024-09-06
19,Teresa Morales Morales,1986-02-26,F,MOMT860226MMCRRR35,2025-01-16
20,Diego Alejandro Cervantes González,1987-08-15,M,CEGD870815HDFRNG82,2024-09-26
21,Gabriel Vázquez Zavala,1988-08-03,M,VUZG880803HMCZVB24,2024-12-31
22,Martha Carmen Ríos Contreras,2002-04-13,F,ROCM020413MDFSNR56,2024-09-11
23,Gerardo Bautista Campos,2000-03-10,M,BACG000310HMCTMR69,2025-01-07
24,Yolanda Zavala Molina,1990-04-21,F,ZAMY900421MDFVLL90,2024-10-14
25,Mariana Luz León Gutiérrez,1989-04-21,F,LEGM890421MDFNTR68,2024-11-14
