SID,TELEFONO,TIPO_TEL,FECHA_ACT
1,5515879193,Celular,2024-06-04
1,5512776658,Casa,2024-10-18
2,5519057349,Celular,2024-12-30
2,5556453345,CASA,2024-12-30
3,5555568438,Celular,2024-06-16
3,5547219551,Casa,2024-10-07
4,5636606047,Celular,2024-09-29
5,22251906,Celular,2024-05-03
5,2226667127,Casa,2024-09-06
6,5513666186,Celular,2024-06-14
7,8162875935,Celular,2024-01-26
8,2233411274,Celular,2024-05-19
9,5592284876,Celular,2024-07-18
10,2247473387,Celular,2024-03-24
11,2279381458,Celular,2024-03-21
12,5523337856,Celular,2024-04-12
12,5513779375,Casa,2024-12-10
13,5531089769,Celular,2024-11-05
13,5555431206,Casa,2025-01-25
14,5690870769,Celular,2024-12-09
14,5675456691,Casa,2024-03-01
15,8119638449,Celular,2024-05-14
15,8138381342,Casa,2024-01-13
16,2220792536,Celular,2024-07-10
17,5594954164,Celular,2024-01-19
17,5513495429,Casa,2024-11-12
18,4471696623,Celular,2024-05-27
18,4431506997,Casa,2024-11-30
19,4418061036,Celular,2024-06-17
19,4440391526,CASA,2024-06-24
20,5551799306,Celular,2024-07-24
21,4495105787,Celular,2024-05-21
22,5623815649,Celular,2024-10-20
22,5640264258,Casa,2024-10-27
23,8184974476,Celular,2025-01-25
24,5616142557,Celular,2024-12-23
25,5522382581,Celular,2024-12-08
25,5514538607,Casa,2024-06-03
26,5578646059,Celular,2024-10-06
27,4498687360,Celular,2024-04-26
28,5539239210,Celular,2024-09-04
29,4489412829,Celular,2024-08-19
29,4484304073,Casa,2024-01-19
30,5513163550,Celular,2024-04-30
30,5580303931,Casa,2024-01-14
31,5544436555,Celular,2024-10-13
31,5532335566,Casa,2024-01-12
32,5581735652,Celular,2024-12-24
33,5544001415,Celular,2024-07-06
33,5599306063,Casa,2024-03-13
34,5512046666,Celular,2024-03-14
34,5561996110,Casa,2024-09-26
35,5556241891,Celular,2024-04-27
36,5644091841,Celular,2024-10-04
37,5515981600,Celular,2024-06-04
38,5697670080,Celular,2024-07-14
38,5612768725,Casa,2024-12-18
39,5557242857,Celular,2024-06-18
40,5594925507,Celular,2024-01-13
40,5550887354,Casa,2024-06-14
41,5510704642,Celular,2024-04-20
41,5593949671,Casa,2024-07-28
42,5683024730,Celular,2024-10-09
43,5592918477,Celular,2024-11-13
44,(55) 44234813,Celular,2024-12-22
45,5586044710,Celular,2024-11-12
45,5537321382,Casa,2024-10-21
46,8184025265,Celular,2024-07-30
47,8191735413,Celular,2025-01-11
48,5588703205,Celular,2024-10-23
49,5535039221,Celular,2024-07-17
50,5538526019,Celular,2024-04-23
50,5584960646,Casa,2024-10-29
51,5582491028,Celular,2024-01-09
51,5588401487,casa,2024-03-31
52,8170099288,Celular,2024-09-05
52,8118344256,Casa,2024-07-05
53,5562809043,Celular,2024-08-16
